Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Who was the first President?,(George) Washington,(John) Adams,(Thomas) Jefferson,(James) Madison
What territory did the United States buy from France in 1803?,the Louisiana Territory,Florida,Texas,California
Name one war fought by the United States in the 1800s.,War of 1812,World War I,World War II,Vietnam War
Name the U.S. war between the North and the South.,the Civil War,the Revolutionary War,the War of 1812,the Spanish-American War
Name one problem that led to the Civil War.,slavery,Women's rights,Civil rights,Labor laws
What was one important thing that Abraham Lincoln did?,freed the slaves (Emancipation Proclamation),signed the Constitution,founded the Republican Party,led the American Revolution
What did the Emancipation Proclamation do?,freed the slaves,established slavery,created the Bill of Rights,signed the Constitution
Name your U.S. Representative., Answers will vary, Joe Biden, Kamala Harris, Donald Trump
What is the name of the President of the United States now?, Answers will Vary, Barack Obama, Bill Clinton, Ronald Reagan
What is the name of the Vice President of the Untied States now?, Answers will vary, Dick Cheney, Al Gore, Richard Nixon
If the President can no longer serve who becomes President?, the Vice President, the Speaker of the House, the Attorney General, the Chief Justice
What is the political party of the President now?, Answers Will Vary, Libertarian, Green, Third-Party
What is the name of the Speaker of the House of Representatives now?, Answers will Vary, Nancy Pelosi, Paul Ryan, Joe Biden



